data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2018,1,18+,1
Entire Network (RSV-NET),2018,2,18+,0.9
Entire Network (RSV-NET),2018,3,18+,0.8
Entire Network (RSV-NET),2018,4,18+,0.7
Entire Network (RSV-NET),2018,5,18+,0.7
Entire Network (RSV-NET),2018,6,18+,0.6
Entire Network (RSV-NET),2018,7,18+,0.6
Entire Network (RSV-NET),2018,8,18+,0.6
Entire Network (RSV-NET),2018,9,18+,0.5
Entire Network (RSV-NET),2018,10,18+,0.4
Entire Network (RSV-NET),2018,11,18+,0.4
Entire Network (RSV-NET),2018,12,18+,0.4
Entire Network (RSV-NET),2018,13,18+,0.2
Entire Network (RSV-NET),2018,14,18+,0.2
Entire Network (RSV-NET),2018,15,18+,0.2
Entire Network (RSV-NET),2018,16,18+,0.2
Entire Network (RSV-NET),2018,17,18+,0.1
Entire Network (RSV-NET),2018,18,18+,0
Entire Network (RSV-NET),2017,40,18-49,0
Entire Network (RSV-NET),2017,41,18-49,0
Entire Network (RSV-NET),2017,42,18-49,0
Entire Network (RSV-NET),2017,43,18-49,0
Entire Network (RSV-NET),2017,44,18-49,0
Entire Network (RSV-NET),2017,45,18-49,0
Entire Network (RSV-NET),2017,46,18-49,0
Entire Network (RSV-NET),2017,47,18-49,0.1
Entire Network (RSV-NET),2017,48,18-49,0.1
Entire Network (RSV-NET),2017,49,18-49,0
Entire Network (RSV-NET),2017,50,18-49,0
Entire Network (RSV-NET),2017,51,18-49,0.1
Entire Network (RSV-NET),2017,52,18-49,0.2
Entire Network (RSV-NET),2018,1,18-49,0.2
Entire Network (RSV-NET),2018,2,18-49,0.2
Entire Network (RSV-NET),2018,3,18-49,0.2
Entire Network (RSV-NET),2018,4,18-49,0.1
Entire Network (RSV-NET),2018,5,18-49,0.2
Entire Network (RSV-NET),2018,6,18-49,0.1
Entire Network (RSV-NET),2018,7,18-49,0.1
Entire Network (RSV-NET),2018,8,18-49,0.1
