data_source,year,week,age_group,hsp_rate_flu
FluSurv-NET,2017,7,5-17,1.7
FluSurv-NET,2017,8,5-17,1.5
FluSurv-NET,2017,9,5-17,0.6
FluSurv-NET,2017,10,5-17,1
FluSurv-NET,2017,11,5-17,1.1
FluSurv-NET,2017,12,5-17,0.9
FluSurv-NET,2017,13,5-17,1
FluSurv-NET,2017,14,5-17,0.5
FluSurv-NET,2017,15,5-17,0.5
FluSurv-NET,2017,16,5-17,0.4
FluSurv-NET,2017,17,5-17,0.2
FluSurv-NET,2016,40,18-49,0
FluSurv-NET,2016,41,18-49,0
FluSurv-NET,2016,42,18-49,0.1
FluSurv-NET,2016,43,18-49,0
FluSurv-NET,2016,44,18-49,0
FluSurv-NET,2016,45,18-49,0.1
FluSurv-NET,2016,46,18-49,0
FluSurv-NET,2016,47,18-49,0.2
FluSurv-NET,2016,48,18-49,0.1
FluSurv-NET,2016,49,18-49,0.2
FluSurv-NET,2016,50,18-49,0.3
FluSurv-NET,2016,51,18-49,0.5
FluSurv-NET,2016,52,18-49,0.8
FluSurv-NET,2017,1,18-49,1
FluSurv-NET,2017,2,18-49,0.9
FluSurv-NET,2017,3,18-49,1.1
FluSurv-NET,2017,4,18-49,1
FluSurv-NET,2017,5,18-49,1.2
FluSurv-NET,2017,6,18-49,1.2
FluSurv-NET,2017,7,18-49,1.5
FluSurv-NET,2017,8,18-49,1.6
FluSurv-NET,2017,9,18-49,0.9
FluSurv-NET,2017,10,18-49,0.7
FluSurv-NET,2017,11,18-49,0.9
FluSurv-NET,2017,12,18-49,1
FluSurv-NET,2017,13,18-49,1
FluSurv-NET,2017,14,18-49,0.7
FluSurv-NET,2017,15,18-49,0.3
FluSurv-NET,2017,16,18-49,0.3
FluSurv-NET,2017,17,18-49,0.2
FluSurv-NET,2016,40,50-64,0.1
FluSurv-NET,2016,41,50-64,0.1
FluSurv-NET,2016,42,50-64,0.1
FluSurv-NET,2016,43,50-64,0.1
FluSurv-NET,2016,44,50-64,0.1
FluSurv-NET,2016,45,50-64,0.2
FluSurv-NET,2016,46,50-64,0.2
FluSurv-NET,2016,47,50-64,0.4
FluSurv-NET,2016,48,50-64,0.4
FluSurv-NET,2016,49,50-64,0.5
FluSurv-NET,2016,50,50-64,1.1
FluSurv-NET,2016,51,50-64,1.5
FluSurv-NET,2016,52,50-64,2.9
FluSurv-NET,2017,1,50-64,4
FluSurv-NET,2017,2,50-64,3.9
FluSurv-NET,2017,3,50-64,3.8
FluSurv-NET,2017,4,50-64,3.4
FluSurv-NET,2017,5,50-64,3.4
FluSurv-NET,2017,6,50-64,4.8
FluSurv-NET,2017,7,50-64,5
FluSurv-NET,2017,8,50-64,5.3
FluSurv-NET,2017,9,50-64,3.2
FluSurv-NET,2017,10,50-64,3.3
FluSurv-NET,2017,11,50-64,2.9
FluSurv-NET,2017,12,50-64,3.1
FluSurv-NET,2017,13,50-64,3.3
FluSurv-NET,2017,14,50-64,2
FluSurv-NET,2017,15,50-64,1.5
FluSurv-NET,2017,16,50-64,1.2
FluSurv-NET,2017,17,50-64,0.8
FluSurv-NET,2016,40,65+,0.3
FluSurv-NET,2016,41,65+,0.4
FluSurv-NET,2016,42,65+,0.4
FluSurv-NET,2016,43,65+,0.6
FluSurv-NET,2016,44,65+,0.8
FluSurv-NET,2016,45,65+,0.8
FluSurv-NET,2016,46,65+,0.8
FluSurv-NET,2016,47,65+,1.1
FluSurv-NET,2016,48,65+,1.7
FluSurv-NET,2016,49,65+,2.6
FluSurv-NET,2016,50,65+,3.1
FluSurv-NET,2016,51,65+,7.2
FluSurv-NET,2016,52,65+,16.6
FluSurv-NET,2017,1,65+,21.6
FluSurv-NET,2017,2,65+,18.3
FluSurv-NET,2017,3,65+,17.6
FluSurv-NET,2017,4,65+,14.8
FluSurv-NET,2017,5,65+,16.8
FluSurv-NET,2017,6,65+,20.5
FluSurv-NET,2017,7,65+,21.9
FluSurv-NET,2017,8,65+,23.4
FluSurv-NET,2017,9,65+,14.7
FluSurv-NET,2017,10,65+,12.5
FluSurv-NET,2017,11,65+,11.4
FluSurv-NET,2017,12,65+,12.7
FluSurv-NET,2017,13,65+,10.6
FluSurv-NET,2017,14,65+,8.8
FluSurv-NET,2017,15,65+,6.3
FluSurv-NET,2017,16,65+,3.9
FluSurv-NET,2017,17,65+,2.5
FluSurv-NET,2016,40,65-74,0.2
FluSurv-NET,2016,41,65-74,0.4
FluSurv-NET,2016,42,65-74,0.2
FluSurv-NET,2016,43,65-74,0.4
FluSurv-NET,2016,44,65-74,0.4
FluSurv-NET,2016,45,65-74,0.4
FluSurv-NET,2016,46,65-74,0.2
FluSurv-NET,2016,47,65-74,0.6
FluSurv-NET,2016,48,65-74,1
FluSurv-NET,2016,49,65-74,1.5
FluSurv-NET,2016,50,65-74,1.5
FluSurv-NET,2016,51,65-74,4
FluSurv-NET,2016,52,65-74,8.1
FluSurv-NET,2017,1,65-74,9.9
FluSurv-NET,2017,2,65-74,9.9
FluSurv-NET,2017,3,65-74,8.4
FluSurv-NET,2017,4,65-74,6.6
FluSurv-NET,2017,5,65-74,8.7
FluSurv-NET,2017,6,65-74,11.2
FluSurv-NET,2017,7,65-74,10.7
FluSurv-NET,2017,8,65-74,13.3
FluSurv-NET,2017,9,65-74,7.9
FluSurv-NET,2017,10,65-74,6.3
FluSurv-NET,2017,11,65-74,6.4
FluSurv-NET,2017,12,65-74,7.2
FluSurv-NET,2017,13,65-74,6.2
FluSurv-NET,2017,14,65-74,4.3
FluSurv-NET,2017,15,65-74,3.7
FluSurv-NET,2017,16,65-74,2
FluSurv-NET,2017,17,65-74,1.4
FluSurv-NET,2016,40,75-84,0.5
FluSurv-NET,2016,41,75-84,0.4
FluSurv-NET,2016,42,75-84,0.6
FluSurv-NET,2016,43,75-84,0.7
FluSurv-NET,2016,44,75-84,1
FluSurv-NET,2016,45,75-84,0.9
FluSurv-NET,2016,46,75-84,1.4
FluSurv-NET,2016,47,75-84,1.5
FluSurv-NET,2016,48,75-84,2.1
FluSurv-NET,2016,49,75-84,3
FluSurv-NET,2016,50,75-84,4.8
FluSurv-NET,2016,51,75-84,8.8
FluSurv-NET,2016,52,75-84,21.5
FluSurv-NET,2017,1,75-84,26.6
FluSurv-NET,2017,2,75-84,20.8
FluSurv-NET,2017,3,75-84,19.9
FluSurv-NET,2017,4,75-84,19.8
FluSurv-NET,2017,5,75-84,19.6
FluSurv-NET,2017,6,75-84,25.8
FluSurv-NET,2017,7,75-84,30.2
FluSurv-NET,2017,8,75-84,28.6
FluSurv-NET,2017,9,75-84,18.5
FluSurv-NET,2017,10,75-84,15.5
FluSurv-NET,2017,11,75-84,15.2
FluSurv-NET,2017,12,75-84,14.6
FluSurv-NET,2017,13,75-84,13.5
FluSurv-NET,2017,14,75-84,11.7
FluSurv-NET,2017,15,75-84,7
FluSurv-NET,2017,16,75-84,5.6
FluSurv-NET,2017,17,75-84,2.2
FluSurv-NET,2016,40,85+,0.4
FluSurv-NET,2016,41,85+,0.6
FluSurv-NET,2016,42,85+,1
FluSurv-NET,2016,43,85+,1.4
FluSurv-NET,2016,44,85+,1.8
FluSurv-NET,2016,45,85+,2.3
FluSurv-NET,2016,46,85+,2.3
FluSurv-NET,2016,47,85+,2.9
FluSurv-NET,2016,48,85+,4.3
FluSurv-NET,2016,49,85+,7
FluSurv-NET,2016,50,85+,6.8
FluSurv-NET,2016,51,85+,18.7
FluSurv-NET,2016,52,85+,45.7
FluSurv-NET,2017,1,85+,65
FluSurv-NET,2017,2,85+,51.7
FluSurv-NET,2017,3,85+,55
FluSurv-NET,2017,4,85+,42.5
FluSurv-NET,2017,5,85+,48.2
FluSurv-NET,2017,6,85+,51.7
FluSurv-NET,2017,7,85+,56
FluSurv-NET,2017,8,85+,58.9
FluSurv-NET,2017,9,85+,38.2
FluSurv-NET,2017,10,85+,35.1
FluSurv-NET,2017,11,85+,26.9
FluSurv-NET,2017,12,85+,34.5
FluSurv-NET,2017,13,85+,25
FluSurv-NET,2017,14,85+,23.6
FluSurv-NET,2017,15,85+,17
FluSurv-NET,2017,16,85+,8.8
FluSurv-NET,2017,17,85+,8.2
FluSurv-NET,2016,40,18-29,0
FluSurv-NET,2016,41,18-29,0
FluSurv-NET,2016,42,18-29,0
FluSurv-NET,2016,43,18-29,0
FluSurv-NET,2016,44,18-29,0
FluSurv-NET,2016,45,18-29,0.1
FluSurv-NET,2016,46,18-29,0.1
FluSurv-NET,2016,47,18-29,0
FluSurv-NET,2016,48,18-29,0
FluSurv-NET,2016,49,18-29,0.2
FluSurv-NET,2016,50,18-29,0.3
FluSurv-NET,2016,51,18-29,0.4
FluSurv-NET,2016,52,18-29,0.7
FluSurv-NET,2017,1,18-29,0.7
FluSurv-NET,2017,2,18-29,0.7
FluSurv-NET,2017,3,18-29,1
FluSurv-NET,2017,4,18-29,0.7
FluSurv-NET,2017,5,18-29,1
FluSurv-NET,2017,6,18-29,1.1
FluSurv-NET,2017,7,18-29,1.3
FluSurv-NET,2017,8,18-29,1.5
FluSurv-NET,2017,9,18-29,0.7
FluSurv-NET,2017,10,18-29,0.5
FluSurv-NET,2017,11,18-29,0.8
FluSurv-NET,2017,12,18-29,0.8
FluSurv-NET,2017,13,18-29,0.6
FluSurv-NET,2017,14,18-29,0.5
FluSurv-NET,2017,15,18-29,0.2
FluSurv-NET,2017,16,18-29,0.3
FluSurv-NET,2017,17,18-29,0.1
FluSurv-NET,2016,40,30-39,0
FluSurv-NET,2016,41,30-39,0
FluSurv-NET,2016,42,30-39,0.1
FluSurv-NET,2016,43,30-39,0.1
FluSurv-NET,2016,44,30-39,0
FluSurv-NET,2016,45,30-39,0.1
FluSurv-NET,2016,46,30-39,0
FluSurv-NET,2016,47,30-39,0.1
FluSurv-NET,2016,48,30-39,0.2
FluSurv-NET,2016,49,30-39,0.1
FluSurv-NET,2016,50,30-39,0.2
FluSurv-NET,2016,51,30-39,0.5
FluSurv-NET,2016,52,30-39,0.7
FluSurv-NET,2017,1,30-39,0.9
FluSurv-NET,2017,2,30-39,1.1
FluSurv-NET,2017,3,30-39,1
FluSurv-NET,2017,4,30-39,1.1
FluSurv-NET,2017,5,30-39,1.1
FluSurv-NET,2017,6,30-39,1.1
FluSurv-NET,2017,7,30-39,1.1
FluSurv-NET,2017,8,30-39,1.3
FluSurv-NET,2017,9,30-39,0.7
FluSurv-NET,2017,10,30-39,0.7
FluSurv-NET,2017,11,30-39,0.9
FluSurv-NET,2017,12,30-39,0.9
FluSurv-NET,2017,13,30-39,1
FluSurv-NET,2017,14,30-39,0.7
FluSurv-NET,2017,15,30-39,0.3
FluSurv-NET,2017,16,30-39,0.2
FluSurv-NET,2017,17,30-39,0.2
FluSurv-NET,2016,40,40-49,0.1
FluSurv-NET,2016,41,40-49,0.1
FluSurv-NET,2016,42,40-49,0.1
FluSurv-NET,2016,43,40-49,0
FluSurv-NET,2016,44,40-49,0.1
FluSurv-NET,2016,45,40-49,0.1
FluSurv-NET,2016,46,40-49,0
FluSurv-NET,2016,47,40-49,0.3
FluSurv-NET,2016,48,40-49,0.2
FluSurv-NET,2016,49,40-49,0.3
FluSurv-NET,2016,50,40-49,0.3
FluSurv-NET,2016,51,40-49,0.7
FluSurv-NET,2016,52,40-49,1
FluSurv-NET,2017,1,40-49,1.5
FluSurv-NET,2017,2,40-49,1.1
FluSurv-NET,2017,3,40-49,1.4
FluSurv-NET,2017,4,40-49,1.4
FluSurv-NET,2017,5,40-49,1.6
FluSurv-NET,2017,6,40-49,1.6
FluSurv-NET,2017,7,40-49,2
FluSurv-NET,2017,8,40-49,2
FluSurv-NET,2017,9,40-49,1.4
FluSurv-NET,2017,10,40-49,0.9
FluSurv-NET,2017,11,40-49,1
FluSurv-NET,2017,12,40-49,1.5
FluSurv-NET,2017,13,40-49,1.4
FluSurv-NET,2017,14,40-49,0.9
FluSurv-NET,2017,15,40-49,0.5
FluSurv-NET,2017,16,40-49,0.3
FluSurv-NET,2017,17,40-49,0.4
FluSurv-NET,2016,40,5-11,0
FluSurv-NET,2016,41,5-11,0
FluSurv-NET,2016,42,5-11,0
FluSurv-NET,2016,43,5-11,0
FluSurv-NET,2016,44,5-11,0
FluSurv-NET,2016,45,5-11,0.1
FluSurv-NET,2016,46,5-11,0
FluSurv-NET,2016,47,5-11,0
FluSurv-NET,2016,48,5-11,0.2
FluSurv-NET,2016,49,5-11,0
FluSurv-NET,2016,50,5-11,0.1
FluSurv-NET,2016,51,5-11,0.3
FluSurv-NET,2016,52,5-11,0.3
FluSurv-NET,2017,1,5-11,0.2
FluSurv-NET,2017,2,5-11,0.8
FluSurv-NET,2017,3,5-11,1.1
FluSurv-NET,2017,4,5-11,0.6
FluSurv-NET,2017,5,5-11,1.2
FluSurv-NET,2017,6,5-11,1.6
FluSurv-NET,2017,7,5-11,2.3
FluSurv-NET,2017,8,5-11,1.8
FluSurv-NET,2017,9,5-11,0.7
FluSurv-NET,2017,10,5-11,1.2
FluSurv-NET,2017,11,5-11,1.4
FluSurv-NET,2017,12,5-11,1.2
FluSurv-NET,2017,13,5-11,1.4
FluSurv-NET,2017,14,5-11,0.6
FluSurv-NET,2017,15,5-11,0.6
FluSurv-NET,2017,16,5-11,0.6
FluSurv-NET,2017,17,5-11,0.2
FluSurv-NET,2016,40,12-17,0
FluSurv-NET,2016,41,12-17,0
FluSurv-NET,2016,42,12-17,0
FluSurv-NET,2016,43,12-17,0.1
FluSurv-NET,2016,44,12-17,0.1
FluSurv-NET,2016,45,12-17,0
FluSurv-NET,2016,46,12-17,0
FluSurv-NET,2016,47,12-17,0
FluSurv-NET,2016,48,12-17,0.1
FluSurv-NET,2016,49,12-17,0.1
FluSurv-NET,2016,50,12-17,0.4
FluSurv-NET,2016,51,12-17,0.3
FluSurv-NET,2016,52,12-17,0.2
FluSurv-NET,2017,1,12-17,0.3
FluSurv-NET,2017,2,12-17,0.5
FluSurv-NET,2017,3,12-17,0.6
FluSurv-NET,2017,4,12-17,0.9
FluSurv-NET,2017,5,12-17,0.9
FluSurv-NET,2017,6,12-17,1
FluSurv-NET,2017,7,12-17,1.1
FluSurv-NET,2017,8,12-17,1.2
FluSurv-NET,2017,9,12-17,0.4
FluSurv-NET,2017,10,12-17,0.7
FluSurv-NET,2017,11,12-17,0.6
FluSurv-NET,2017,12,12-17,0.6
FluSurv-NET,2017,13,12-17,0.6
FluSurv-NET,2017,14,12-17,0.2
FluSurv-NET,2017,15,12-17,0.2
FluSurv-NET,2017,16,12-17,0.1
FluSurv-NET,2017,17,12-17,0.1
FluSurv-NET,2016,40,0-17,0
FluSurv-NET,2016,41,0-17,0
FluSurv-NET,2016,42,0-17,0
FluSurv-NET,2016,43,0-17,0
FluSurv-NET,2016,44,0-17,0
FluSurv-NET,2016,45,0-17,0.1
FluSurv-NET,2016,46,0-17,0
FluSurv-NET,2016,47,0-17,0.1
FluSurv-NET,2016,48,0-17,0.2
FluSurv-NET,2016,49,0-17,0.2
FluSurv-NET,2016,50,0-17,0.3
FluSurv-NET,2016,51,0-17,0.7
FluSurv-NET,2016,52,0-17,0.5
FluSurv-NET,2017,1,0-17,0.5
FluSurv-NET,2017,2,0-17,0.9
FluSurv-NET,2017,3,0-17,1.1
FluSurv-NET,2017,4,0-17,1.1
FluSurv-NET,2017,5,0-17,1.5
FluSurv-NET,2017,6,0-17,1.9
FluSurv-NET,2017,7,0-17,2.4
FluSurv-NET,2017,8,0-17,2.2
FluSurv-NET,2017,9,0-17,1.2
FluSurv-NET,2017,10,0-17,1.2
FluSurv-NET,2017,11,0-17,1.3
FluSurv-NET,2017,12,0-17,1.4
FluSurv-NET,2017,13,0-17,1.3
FluSurv-NET,2017,14,0-17,0.8
FluSurv-NET,2017,15,0-17,0.6
FluSurv-NET,2017,16,0-17,0.5
FluSurv-NET,2017,17,0-17,0.2
FluSurv-NET,2016,40,18+,0.1
FluSurv-NET,2016,41,18+,0.1
FluSurv-NET,2016,42,18+,0.1
FluSurv-NET,2016,43,18+,0.2
FluSurv-NET,2016,44,18+,0.2
FluSurv-NET,2016,45,18+,0.2
FluSurv-NET,2016,46,18+,0.2
FluSurv-NET,2016,47,18+,0.4
FluSurv-NET,2016,48,18+,0.5
FluSurv-NET,2016,49,18+,0.7
FluSurv-NET,2016,50,18+,1
FluSurv-NET,2016,51,18+,1.9
FluSurv-NET,2016,52,18+,4.1
FluSurv-NET,2017,1,18+,5.3
FluSurv-NET,2017,2,18+,4.7
FluSurv-NET,2017,3,18+,4.6
FluSurv-NET,2017,4,18+,4
FluSurv-NET,2017,5,18+,4.5
FluSurv-NET,2017,6,18+,5.5
FluSurv-NET,2017,7,18+,5.9
FluSurv-NET,2017,8,18+,6.3
FluSurv-NET,2017,9,18+,3.9
FluSurv-NET,2017,10,18+,3.4
FluSurv-NET,2017,11,18+,3.2
FluSurv-NET,2017,12,18+,3.6
FluSurv-NET,2017,13,18+,3.2
FluSurv-NET,2017,14,18+,2.4
FluSurv-NET,2017,15,18+,1.7
FluSurv-NET,2017,16,18+,1.1
FluSurv-NET,2017,17,18+,0.8
FluSurv-NET,2017,40,ALL,0.1
FluSurv-NET,2017,41,ALL,0.1
FluSurv-NET,2017,42,ALL,0.2
FluSurv-NET,2017,43,ALL,0.2
FluSurv-NET,2017,44,ALL,0.3
FluSurv-NET,2017,45,ALL,0.3
FluSurv-NET,2017,46,ALL,0.4
FluSurv-NET,2017,47,ALL,0.8
FluSurv-NET,2017,48,ALL,1.2
FluSurv-NET,2017,49,ALL,1.4
FluSurv-NET,2017,50,ALL,2.3
FluSurv-NET,2017,51,ALL,4.6
FluSurv-NET,2017,52,ALL,8.2
FluSurv-NET,2018,1,ALL,10.2
FluSurv-NET,2018,2,ALL,9.8
FluSurv-NET,2018,3,ALL,8.9
FluSurv-NET,2018,4,ALL,8.5
FluSurv-NET,2018,5,ALL,7.8
FluSurv-NET,2018,6,ALL,7
FluSurv-NET,2018,7,ALL,6.3
FluSurv-NET,2018,8,ALL,5.2
FluSurv-NET,2018,9,ALL,3.6
FluSurv-NET,2018,10,ALL,2.8
FluSurv-NET,2018,11,ALL,2.8
FluSurv-NET,2018,12,ALL,2.3
FluSurv-NET,2018,13,ALL,2.2
FluSurv-NET,2018,14,ALL,1.9
FluSurv-NET,2018,15,ALL,1.3
FluSurv-NET,2018,16,ALL,1
FluSurv-NET,2018,17,ALL,1
FluSurv-NET,2017,40,0-4,0.1
FluSurv-NET,2017,41,0-4,0.1
FluSurv-NET,2017,42,0-4,0.1
FluSurv-NET,2017,43,0-4,0.1
FluSurv-NET,2017,44,0-4,0.3
