date ,week
13/01/2023,2
14/01/2023,2
15/01/2023,3
16/01/2023,3
17/01/2023,3
18/01/2023,3
19/01/2023,3
20/01/2023,3
21/01/2023,3
22/01/2023,4
23/01/2023,4
24/01/2023,4
25/01/2023,4
26/01/2023,4
27/01/2023,4
28/01/2023,4
29/01/2023,5
30/01/2023,5
31/01/2023,5
01/02/2023,5
02/02/2023,5
03/02/2023,5
04/02/2023,5
05/02/2023,6
06/02/2023,6
07/02/2023,6
08/02/2023,6
09/02/2023,6
10/02/2023,6
11/02/2023,6
12/02/2023,7
13/02/2023,7
14/02/2023,7
15/02/2023,7
16/02/2023,7
17/02/2023,7
18/02/2023,7
19/02/2023,8
20/02/2023,8
21/02/2023,8
22/02/2023,8
23/02/2023,8
24/02/2023,8
25/02/2023,8
26/02/2023,9
27/02/2023,9
28/02/2023,9
01/03/2023,9
02/03/2023,9
03/03/2023,9
04/03/2023,9
05/03/2023,10
06/03/2023,10
07/03/2023,10
08/03/2023,10
09/03/2023,10
10/03/2023,10
11/03/2023,10
12/03/2023,11
13/03/2023,11
14/03/2023,11
15/03/2023,11
16/03/2023,11
17/03/2023,11
18/03/2023,11
19/03/2023,12
20/03/2023,12
21/03/2023,12
22/03/2023,12
23/03/2023,12
24/03/2023,12
25/03/2023,12
26/03/2023,13
27/03/2023,13
28/03/2023,13
29/03/2023,13
30/03/2023,13
31/03/2023,13
01/04/2023,13
02/04/2023,14
03/04/2023,14
04/04/2023,14
05/04/2023,14
06/04/2023,14
07/04/2023,14
08/04/2023,14
09/04/2023,15
10/04/2023,15
11/04/2023,15
12/04/2023,15
13/04/2023,15
14/04/2023,15
15/04/2023,15
16/04/2023,16
17/04/2023,16
18/04/2023,16
19/04/2023,16
20/04/2023,16
21/04/2023,16
22/04/2023,16
23/04/2023,17
24/04/2023,17
25/04/2023,17
26/04/2023,17
27/04/2023,17
28/04/2023,17
29/04/2023,17
30/04/2023,18
01/05/2023,18
02/05/2023,18
03/05/2023,18
04/05/2023,18
05/05/2023,18
06/05/2023,18
07/05/2023,19
08/05/2023,19
09/05/2023,19
10/05/2023,19
11/05/2023,19
12/05/2023,19
13/05/2023,19
14/05/2023,20
15/05/2023,20
16/05/2023,20
17/05/2023,20
18/05/2023,20
19/05/2023,20
20/05/2023,20
21/05/2023,21
22/05/2023,21
23/05/2023,21
24/05/2023,21
25/05/2023,21
26/05/2023,21
27/05/2023,21
28/05/2023,22
29/05/2023,22
30/05/2023,22
31/05/2023,22
01/06/2023,22
02/06/2023,22
03/06/2023,22
04/06/2023,23
05/06/2023,23
06/06/2023,23
07/06/2023,23
08/06/2023,23
09/06/2023,23
10/06/2023,23
11/06/2023,24
12/06/2023,24
13/06/2023,24
14/06/2023,24
15/06/2023,24
16/06/2023,24
17/06/2023,24
18/06/2023,25
19/06/2023,25
20/06/2023,25
21/06/2023,25
22/06/2023,25
23/06/2023,25
24/06/2023,25
25/06/2023,26
26/06/2023,26
27/06/2023,26
28/06/2023,26
29/06/2023,26
30/06/2023,26
01/07/2023,26
02/07/2023,27
03/07/2023,27
04/07/2023,27
05/07/2023,27
06/07/2023,27
07/07/2023,27
08/07/2023,27
09/07/2023,28
10/07/2023,28
11/07/2023,28
12/07/2023,28
13/07/2023,28
14/07/2023,28
15/07/2023,28
16/07/2023,29
17/07/2023,29
18/07/2023,29
19/07/2023,29
20/07/2023,29
21/07/2023,29
22/07/2023,29
23/07/2023,30
24/07/2023,30
25/07/2023,30
26/07/2023,30
27/07/2023,30
28/07/2023,30
29/07/2023,30
30/07/2023,31
31/07/2023,31
01/08/2023,31
02/08/2023,31
03/08/2023,31
04/08/2023,31
05/08/2023,31
06/08/2023,32
07/08/2023,32
08/08/2023,32
09/08/2023,32
10/08/2023,32
11/08/2023,32
12/08/2023,32
13/08/2023,33
14/08/2023,33
15/08/2023,33
16/08/2023,33
17/08/2023,33
18/08/2023,33
19/08/2023,33
20/08/2023,34
21/08/2023,34
22/08/2023,34
23/08/2023,34
24/08/2023,34
25/08/2023,34
26/08/2023,34
27/08/2023,35
28/08/2023,35
29/08/2023,35
30/08/2023,35
31/08/2023,35
01/09/2023,35
02/09/2023,35
03/09/2023,36
04/09/2023,36
05/09/2023,36
06/09/2023,36
07/09/2023,36
08/09/2023,36
09/09/2023,36
10/09/2023,37
11/09/2023,37
12/09/2023,37
13/09/2023,37
14/09/2023,37
15/09/2023,37
16/09/2023,37
17/09/2023,38
18/09/2023,38
19/09/2023,38
20/09/2023,38
21/09/2023,38
22/09/2023,38
23/09/2023,38
24/09/2023,39
25/09/2023,39
26/09/2023,39
27/09/2023,39
28/09/2023,39
29/09/2023,39
30/09/2023,39
01/10/2023,40
02/10/2023,40
03/10/2023,40
04/10/2023,40
05/10/2023,40
06/10/2023,40
07/10/2023,40
08/10/2023,41
09/10/2023,41
10/10/2023,41
11/10/2023,41
12/10/2023,41
13/10/2023,41
14/10/2023,41
15/10/2023,42
16/10/2023,42
17/10/2023,42
18/10/2023,42
19/10/2023,42
20/10/2023,42
21/10/2023,42
22/10/2023,43
23/10/2023,43
24/10/2023,43
25/10/2023,43
26/10/2023,43
27/10/2023,43
28/10/2023,43
29/10/2023,44
30/10/2023,44
31/10/2023,44
01/11/2023,44
02/11/2023,44
03/11/2023,44
04/11/2023,44
05/11/2023,45
06/11/2023,45
07/11/2023,45
08/11/2023,45
09/11/2023,45
10/11/2023,45
11/11/2023,45
12/11/2023,46
13/11/2023,46
14/11/2023,46
15/11/2023,46
16/11/2023,46
17/11/2023,46
18/11/2023,46
19/11/2023,47
20/11/2023,47
21/11/2023,47
22/11/2023,47
23/11/2023,47
24/11/2023,47
25/11/2023,47
26/11/2023,48
27/11/2023,48
28/11/2023,48
29/11/2023,48
30/11/2023,48
01/12/2023,48
02/12/2023,48
03/12/2023,49
04/12/2023,49
05/12/2023,49
06/12/2023,49
07/12/2023,49
08/12/2023,49
09/12/2023,49
10/12/2023,50
11/12/2023,50
12/12/2023,50
13/12/2023,50
14/12/2023,50
15/12/2023,50
16/12/2023,50
17/12/2023,51
18/12/2023,51
19/12/2023,51
20/12/2023,51
21/12/2023,51
22/12/2023,51
23/12/2023,51
24/12/2023,52
25/12/2023,52
26/12/2023,52
27/12/2023,52
28/12/2023,52
29/12/2023,52
30/12/2023,52
31/12/2023,53
