start_date,year,week
2019-08-25,2019,35
2019-09-01,2019,36
2019-09-08,2019,37
2019-09-15,2019,38
2019-09-22,2019,39
2019-09-29,2019,40
2019-10-06,2019,41
2019-10-13,2019,42
2019-10-20,2019,43
2019-10-27,2019,44
2019-11-03,2019,45
2019-11-10,2019,46
2019-11-17,2019,47
2019-11-24,2019,48
2019-12-01,2019,49
2019-12-08,2019,50
2019-12-15,2019,51
2019-12-22,2019,52
2019-12-29,2020,1
2020-01-05,2020,2
2020-01-12,2020,3
2020-01-19,2020,4
2020-01-26,2020,5
2020-02-02,2020,6
2020-02-09,2020,7
2020-02-16,2020,8
2020-02-23,2020,9
2020-03-01,2020,10
2020-03-08,2020,11
2020-03-15,2020,12
2020-03-22,2020,13
2020-03-29,2020,14
2020-04-05,2020,15
2020-04-12,2020,16
2020-04-19,2020,17
2020-04-26,2020,18
2020-05-03,2020,19
2020-05-10,2020,20
2020-05-17,2020,21
2020-05-24,2020,22
2020-05-31,2020,23
2020-06-07,2020,24
2020-06-14,2020,25
2020-06-21,2020,26
2020-06-28,2020,27
2020-07-05,2020,28
2020-07-12,2020,29
2020-07-19,2020,30
2020-07-26,2020,31
2020-08-02,2020,32
2020-08-09,2020,33
2020-08-16,2020,34
2020-08-23,2020,35
2020-08-30,2020,36
2020-09-06,2020,37
2020-09-13,2020,38
2020-09-20,2020,39
2020-09-27,2020,40
2020-10-04,2020,41
2020-10-11,2020,42
2020-10-18,2020,43
2020-10-25,2020,44
2020-11-01,2020,45
2020-11-08,2020,46
2020-11-15,2020,47
2020-11-22,2020,48
2020-11-29,2020,49
2020-12-06,2020,50
2020-12-13,2020,51
2020-12-20,2020,52
2020-12-27,2020,53
2021-01-03,2021,1
2021-01-10,2021,2
2021-01-17,2021,3
2021-01-24,2021,4
2021-01-31,2021,5
2021-02-07,2021,6
2021-02-14,2021,7
2021-02-21,2021,8
2021-02-28,2021,9
2021-03-07,2021,10
2021-03-14,2021,11
2021-03-21,2021,12
2021-03-28,2021,13
2021-04-04,2021,14
2021-04-11,2021,15
2021-04-18,2021,16
2021-04-25,2021,17
2021-05-02,2021,18
2021-05-09,2021,19
2021-05-16,2021,20
2021-05-23,2021,21
2021-05-30,2021,22
2021-06-06,2021,23
2021-06-13,2021,24
2021-06-20,2021,25
2021-06-27,2021,26
2021-07-04,2021,27
2021-07-11,2021,28
2021-07-18,2021,29
2021-07-25,2021,30
2021-08-01,2021,31
2021-08-08,2021,32
2021-08-15,2021,33
2021-08-22,2021,34
2021-08-29,2021,35
2021-09-05,2021,36
2021-09-12,2021,37
2021-09-19,2021,38
2021-09-26,2021,39
2021-10-03,2021,40
2021-10-10,2021,41
