Date,,AUS
01/03,2022,"1,940"
02/03,2022,"1,904"
03/03,2022,"1,837"
04/03,2022,"1,753"
05/03,2022,"1,752"
06/03,2022,"1,737"
07/03,2022,"1,809"
08/03,2022,"1,788"
09/03,2022,"1,737"
10/03,2022,"1,688"
11/03,2022,"1,689"
12/03,2022,"1,685"
13/03,2022,"1,702"
14/03,2022,"1,727"
15/03,2022,"1,801"
16/03,2022,"1,812"
17/03,2022,"1,855"
18/03,2022,"1,855"
19/03,2022,"1,903"
20/03,2022,"1,943"
21/03,2022,"2,046"
22/03,2022,"2,107"
23/03,2022,"2,104"
24/03,2022,"2,149"
25/03,2022,"2,152"
26/03,2022,"2,159"
27/03,2022,"2,176"
28/03,2022,"2,301"
29/03,2022,"2,364"
30/03,2022,"2,446"
31/03,2022,"2,492"
01/04,2022,"2,533"
02/04,2022,"2,522"
03/04,2022,"2,581"
04/04,2022,"2,699"
05/04,2022,"2,836"
06/04,2022,"2,811"
07/04,2022,"2,746"
08/04,2022,"2,818"
09/04,2022,"2,844"
10/04,2022,"2,941"
11/04,2022,"3,092"
12/04,2022,"3,145"
13/04,2022,"3,147"
14/04,2022,"3,138"
15/04,2022,"2,982"
16/04,2022,"3,002"
17/04,2022,"3,069"
18/04,2022,"3,178"
19/04,2022,"3,276"
20/04,2022,"3,329"
21/04,2022,"3,320"
22/04,2022,"3,236"
23/04,2022,"3,210"
24/04,2022,"3,152"
25/04,2022,"3,189"
26/04,2022,"3,291"
27/04,2022,"3,391"
28/04,2022,"3,330"
29/04,2022,"3,169"
30/04,2022,"3,177"
01/05,2022,"3,099"
02/05,2022,"3,218"
03/05,2022,"3,088"
04/05,2022,"3,104"
05/05,2022,"3,131"
06/05,2022,"3,125"
07/05,2022,"3,071"
08/05,2022,"3,073"
09/05,2022,"3,139"
10/05,2022,"3,168"
11/05,2022,"3,102"
12/05,2022,"3,004"
13/05,2022,"2,933"
14/05,2022,"2,956"
15/05,2022,"2,988"
16/05,2022,"3,101"
17/05,2022,"3,162"
18/05,2022,"3,134"
19/05,2022,"2,986"
20/05,2022,"2,891"
21/05,2022,"2,829"
22/05,2022,"2,844"
23/05,2022,"2,912"
24/05,2022,"2,927"
25/05,2022,"2,889"
26/05,2022,"2,905"
27/05,2022,"2,863"
28/05,2022,"2,715"
29/05,2022,"2,712"
30/05,2022,"2,774"
31/05,2022,"2,777"
01/06,2022,"2,686"
02/06,2022,"2,570"
03/06,2022,"2,723"
04/06,2022,"2,660"
05/06,2022,"2,689"
06/06,2022,"2,756"
07/06,2022,"2,804"
08/06,2022,"2,778"
09/06,2022,"2,744"
10/06,2022,"2,707"
11/06,2022,"2,656"
12/06,2022,"2,682"
13/06,2022,"2,733"
14/06,2022,"2,851"
15/06,2022,"2,887"
16/06,2022,"2,818"
17/06,2022,"2,817"
18/06,2022,"2,815"
19/06,2022,"2,905"
20/06,2022,"3,006"
21/06,2022,"3,055"
22/06,2022,"3,022"
23/06,2022,"3,043"
24/06,2022,"2,967"
25/06,2022,"3,046"
26/06,2022,"3,118"
27/06,2022,"3,133"
28/06,2022,"3,276"
29/06,2022,"3,224"
30/06,2022,"3,267"
01/07,2022,"3,272"
02/07,2022,"3,329"
03/07,2022,"3,415"
04/07,2022,"3,511"
05/07,2022,"3,740"
06/07,2022,"3,781"
07/07,2022,"3,899"
08/07,2022,"3,977"
09/07,2022,"4,024"
10/07,2022,"4,094"
11/07,2022,"4,327"
12/07,2022,"4,468"
13/07,2022,"4,477"
14/07,2022,"4,512"
15/07,2022,"4,602"
16/07,2022,"4,733"
17/07,2022,"4,719"
18/07,2022,"5,001"
19/07,2022,"5,239"
20/07,2022,"5,357"
21/07,2022,"5,360"
22/07,2022,"5,307"
23/07,2022,"5,251"
24/07,2022,"5,362"
25/07,2022,"5,433"
26/07,2022,"5,571"
27/07,2022,"5,364"
28/07,2022,"5,245"
29/07,2022,"5,104"
30/07,2022,"5,012"
31/07,2022,"4,925"
01/08,2022,"4,992"
02/08,2022,"5,002"
03/08,2022,"4,861"
04/08,2022,"4,702"
05/08,2022,"4,613"
06/08,2022,"4,483"
07/08,2022,"4,431"
08/08,2022,"4,484"
09/08,2022,"4,611"
10/08,2022,"4,343"
11/08,2022,"4,274"
12/08,2022,"4,098"
13/08,2022,"3,981"
14/08,2022,"3,991"
15/08,2022,"4,013"
16/08,2022,"3,982"
17/08,2022,"3,807"
18/08,2022,"3,726"
19/08,2022,"3,621"
20/08,2022,"3,477"
21/08,2022,"3,433"
22/08,2022,"3,429"
23/08,2022,"3,453"
24/08,2022,"3,324"
25/08,2022,"3,237"
26/08,2022,"3,110"
27/08,2022,"3,087"
28/08,2022,"3,010"
29/08,2022,"3,036"
30/08,2022,"3,004"
31/08,2022,"2,937"
01/09,2022,"2,863"
02/09,2022,"2,765"
03/09,2022,"2,718"
04/09,2022,"2,701"
05/09,2022,"2,694"
06/09,2022,"2,599"
07/09,2022,"2,460"
08/09,2022,"2,388"
09/09,2022,"2,339"
10/09,2022,"2,332"
11/09,2022,"2,332"
12/09,2022,"2,332"
13/09,2022,"2,346"
14/09,2022,"2,337"
15/09,2022,"2,337"
16/09,2022,"1,991"
17/09,2022,"2,004"
18/09,2022,"1,963"
19/09,2022,"1,956"
20/09,2022,"1,950"
21/09,2022,"1,937"
22/09,2022,"1,931"
23/09,2022,"1,763"
24/09,2022,"1,763"
25/09,2022,"1,763"
26/09,2022,"1,763"
27/09,2022,"1,763"
28/09,2022,"1,763"
29/09,2022,"1,763"
30/09,2022,"1,563"
01/10,2022,"1,563"
02/10,2022,"1,563"
03/10,2022,"1,563"
04/10,2022,"1,563"
05/10,2022,"1,563"
06/10,2022,"1,563"
07/10,2022,"1,465"
08/10,2022,"1,465"
09/10,2022,"1,465"
10/10,2022,"1,465"
11/10,2022,"1,465"
12/10,2022,"1,465"
13/10,2022,"1,465"
14/10,2022,"1,425"
15/10,2022,"1,425"
16/10,2022,"1,425"
17/10,2022,"1,425"
18/10,2022,"1,425"
19/10,2022,"1,425"
20/10,2022,"1,425"
21/10,2022,"1,433"
22/10,2022,"1,433"
23/10,2022,"1,433"
24/10,2022,"1,433"
25/10,2022,"1,433"
26/10,2022,"1,433"
27/10,2022,"1,433"
28/10,2022,"1,338"
29/10,2022,"1,338"
30/10,2022,"1,338"
31/10,2022,"1,338"
01/11,2022,"1,338"
02/11,2022,"1,338"
03/11,2022,"1,338"
04/11,2022,"1,395"
05/11,2022,"1,395"
06/11,2022,"1,395"
07/11,2022,"1,395"
08/11,2022,"1,395"
09/11,2022,"1,395"
10/11,2022,"1,395"
11/11,2022,"1,786"
12/11,2022,"1,786"
13/11,2022,"1,786"
14/11,2022,"1,786"
15/11,2022,"1,786"
16/11,2022,"1,786"
17/11,2022,"1,786"
18/11,2022,"2,116"
19/11,2022,"2,116"
20/11,2022,"2,116"
21/11,2022,"2,116"
22/11,2022,"2,116"
23/11,2022,"2,116"
24/11,2022,"2,116"
25/11,2022,"2,471"
26/11,2022,"2,471"
27/11,2022,"2,471"
28/11,2022,"2,471"
29/11,2022,"2,471"
30/11,2022,"2,471"
01/12,2022,"2,471"
02/12,2022,"2,582"
03/12,2022,"2,582"
04/12,2022,"2,582"
05/12,2022,"2,582"
06/12,2022,"2,582"
07/12,2022,"2,582"
08/12,2022,"2,582"
09/12,2022,"3,026"
10/12,2022,"3,026"
11/12,2022,"3,026"
12/12,2022,"3,026"
13/12,2022,"3,026"
14/12,2022,"3,026"
15/12,2022,"3,026"
16/12,2022,"3,361"
17/12,2022,"3,361"
18/12,2022,"3,361"
19/12,2022,"3,361"
20/12,2022,"3,361"
21/12,2022,"3,361"
22/12,2022,"3,361"
23/12,2022,"3,377"
24/12,2022,"3,377"
25/12,2022,"3,377"
26/12,2022,"3,377"
27/12,2022,"3,377"
28/12,2022,"3,377"
29/12,2022,"3,377"
30/12,2022,"3,593"
31/12,2022,"3,593"
01/01,2023,"3,593"
02/01,2023,"3,593"
03/01,2023,"3,593"
04/01,2023,"3,593"
05/01,2023,"3,593"
06/01,2023,"3,448"
