data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,10,2017,NONSENTINEL,0.106155015837207,0.20333918526563594,71,136,66883321,64,7
fluNet,France,NH,10,2017,SENTINEL,0.0059805642725187045,0.0029902821362593522,4,2,66883321,4,0
fluNet,France,NH,11,2017,SENTINEL,0.0014951410681296761,0,1,0,66883321,1,0
fluNet,France,NH,11,2017,NONSENTINEL,0.07625219447461348,0.16596065856239406,51,111,66883321,37,14
fluNet,France,NH,12,2017,SENTINEL,0.0029902821362593522,0,2,0,66883321,2,0
fluNet,France,NH,12,2017,NONSENTINEL,0.04036880883950126,0.10914529797346635,27,73,66883321,23,4
fluNet,France,NH,13,2017,NONSENTINEL,0.019436833885685793,0.07326191233835413,13,49,66883321,5,8
fluNet,France,NH,13,2017,SENTINEL,0,0,0,0,66883321,0,0
fluNet,France,NH,14,2017,NONSENTINEL,0.004485423204389028,0.05980564272518705,3,40,66883321,1,2
fluNet,France,NH,14,2017,SENTINEL,0,0,0,0,66883321,0,0
fluNet,France,NH,15,2017,NONSENTINEL,0,0.016446551749426438,0,11,66883321,0,0
fluNet,France,NH,15,2017,SENTINEL,0,0,0,0,66883321,0,0
fluNet,France,NH,40,2017,NONSENTINEL,0.004485423204389028,0.032893103498852876,3,22,66883321,2,1
fluNet,France,NH,40,2017,SENTINEL,0,0,0,0,66883321,0,0
fluNet,France,NH,41,2017,SENTINEL,0,0,0,0,66883321,0,0
fluNet,France,NH,41,2017,NONSENTINEL,0.011961128545037409,0.06728134806583543,8,45,66883321,7,1
fluNet,France,NH,42,2017,NONSENTINEL,0.010465987476907733,0.15250438894922697,7,102,66883321,6,1
fluNet,France,NH,42,2017,SENTINEL,0.0029902821362593522,0.0029902821362593522,2,2,66883321,2,0
fluNet,France,NH,43,2017,NONSENTINEL,0.023922257090074818,0.2751059565358604,16,184,66883321,14,2
fluNet,France,NH,43,2017,SENTINEL,0.0029902821362593522,0,2,0,66883321,2,0
