data_source,country,hemisphere,week,year,age_group,cases_flu,cases_rsv,cases_covid19,denominator
SARI epi.minsal,CHI,sh,30,2017,ALL,7,36,0,18419192
SARI epi.minsal,CHI,sh,31,2017,ALL,8,27,2,18419192
SARI epi.minsal,CHI,sh,32,2017,ALL,7,30,0,18419192
SARI epi.minsal,CHI,sh,33,2017,ALL,10,30,0,18419192
SARI epi.minsal,CHI,sh,34,2017,ALL,9,18,0,18419192
SARI epi.minsal,CHI,sh,35,2017,ALL,5,20,0,18419192
SARI epi.minsal,CHI,sh,36,2017,ALL,3,21,0,18419192
SARI epi.minsal,CHI,sh,37,2017,ALL,9,10,0,18419192
SARI epi.minsal,CHI,sh,38,2017,ALL,8,4,0,18419192
SARI epi.minsal,CHI,sh,39,2017,ALL,8,9,0,18419192
SARI epi.minsal,CHI,sh,40,2017,ALL,9,8,0,18419192
SARI epi.minsal,CHI,sh,41,2017,ALL,16,3,0,18419192
SARI epi.minsal,CHI,sh,42,2017,ALL,9,7,0,18419192
SARI epi.minsal,CHI,sh,43,2017,ALL,7,0,0,18419192
SARI epi.minsal,CHI,sh,44,2017,ALL,11,2,0,18419192
SARI epi.minsal,CHI,sh,45,2017,ALL,10,1,0,18419192
SARI epi.minsal,CHI,sh,46,2017,ALL,13,3,0,18419192
SARI epi.minsal,CHI,sh,47,2017,ALL,3,1,0,18419192
SARI epi.minsal,CHI,sh,48,2017,ALL,10,3,0,18419192
SARI epi.minsal,CHI,sh,49,2017,ALL,3,1,0,18419192
SARI epi.minsal,CHI,sh,50,2017,ALL,3,2,0,18419192
SARI epi.minsal,CHI,sh,51,2017,ALL,3,1,1,18419192
SARI epi.minsal,CHI,sh,52,2017,ALL,2,0,0,18419192
SARI epi.minsal,CHI,sh,1,2018,ALL,3,2,0,18751405
SARI epi.minsal,CHI,sh,2,2018,ALL,4,1,0,18751405
SARI epi.minsal,CHI,sh,3,2018,ALL,1,1,0,18751405
SARI epi.minsal,CHI,sh,4,2018,ALL,2,4,0,18751405
SARI epi.minsal,CHI,sh,5,2018,ALL,1,0,0,18751405
SARI epi.minsal,CHI,sh,6,2018,ALL,1,0,0,18751405
SARI epi.minsal,CHI,sh,7,2018,ALL,0,1,0,18751405
SARI epi.minsal,CHI,sh,8,2018,ALL,0,0,0,18751405
SARI epi.minsal,CHI,sh,9,2018,ALL,1,1,0,18751405
SARI epi.minsal,CHI,sh,10,2018,ALL,1,0,0,18751405
SARI epi.minsal,CHI,sh,11,2018,ALL,3,2,0,18751405
SARI epi.minsal,CHI,sh,12,2018,ALL,1,1,0,18751405
SARI epi.minsal,CHI,sh,13,2018,ALL,3,2,0,18751405
SARI epi.minsal,CHI,sh,14,2018,ALL,0,2,0,18751405
SARI epi.minsal,CHI,sh,15,2018,ALL,3,3,0,18751405
SARI epi.minsal,CHI,sh,16,2018,ALL,1,9,0,18751405
SARI epi.minsal,CHI,sh,17,2018,ALL,4,12,0,18751405
SARI epi.minsal,CHI,sh,18,2018,ALL,1,16,1,18751405
SARI epi.minsal,CHI,sh,19,2018,ALL,6,19,0,18751405
SARI epi.minsal,CHI,sh,20,2018,ALL,9,32,0,18751405
SARI epi.minsal,CHI,sh,21,2018,ALL,15,45,0,18751405
SARI epi.minsal,CHI,sh,22,2018,ALL,12,63,0,18751405
SARI epi.minsal,CHI,sh,23,2018,ALL,10,75,0,18751405
SARI epi.minsal,CHI,sh,24,2018,ALL,18,79,0,18751405
SARI epi.minsal,CHI,sh,25,2018,ALL,22,91,3,18751405
SARI epi.minsal,CHI,sh,26,2018,ALL,29,90,4,18751405
SARI epi.minsal,CHI,sh,27,2018,ALL,37,111,2,18751405
SARI epi.minsal,CHI,sh,28,2018,ALL,40,99,1,18751405
SARI epi.minsal,CHI,sh,29,2018,ALL,48,79,3,18751405
SARI epi.minsal,CHI,sh,30,2018,ALL,31,48,3,18751405
SARI epi.minsal,CHI,sh,31,2018,ALL,20,42,1,18751405
SARI epi.minsal,CHI,sh,32,2018,ALL,14,36,0,18751405
SARI epi.minsal,CHI,sh,33,2018,ALL,27,27,0,18751405
SARI epi.minsal,CHI,sh,34,2018,ALL,29,22,1,18751405
SARI epi.minsal,CHI,sh,35,2018,ALL,14,19,0,18751405
SARI epi.minsal,CHI,sh,36,2018,ALL,9,9,0,18751405
SARI epi.minsal,CHI,sh,37,2018,ALL,10,11,0,18751405
SARI epi.minsal,CHI,sh,38,2018,ALL,11,8,0,18751405
SARI epi.minsal,CHI,sh,39,2018,ALL,7,6,0,18751405
SARI epi.minsal,CHI,sh,40,2018,ALL,11,4,0,18751405
SARI epi.minsal,CHI,sh,41,2018,ALL,5,2,0,18751405
SARI epi.minsal,CHI,sh,42,2018,ALL,7,1,0,18751405
SARI epi.minsal,CHI,sh,43,2018,ALL,5,2,0,18751405
SARI epi.minsal,CHI,sh,44,2018,ALL,4,6,0,18751405
SARI epi.minsal,CHI,sh,45,2018,ALL,3,5,0,18751405
SARI epi.minsal,CHI,sh,46,2018,ALL,0,2,0,18751405
SARI epi.minsal,CHI,sh,47,2018,ALL,0,0,0,18751405
SARI epi.minsal,CHI,sh,48,2018,ALL,4,1,0,18751405
SARI epi.minsal,CHI,sh,49,2018,ALL,2,1,0,18751405
SARI epi.minsal,CHI,sh,50,2018,ALL,1,1,0,18751405
SARI epi.minsal,CHI,sh,51,2018,ALL,4,1,0,18751405
SARI epi.minsal,CHI,sh,52,2018,ALL,1,0,0,18751405
SARI epi.minsal,CHI,sh,1,2019,ALL,1,0,0,19107216
SARI epi.minsal,CHI,sh,2,2019,ALL,2,0,0,19107216
SARI epi.minsal,CHI,sh,3,2019,ALL,1,0,0,19107216
SARI epi.minsal,CHI,sh,4,2019,ALL,2,0,0,19107216
SARI epi.minsal,CHI,sh,5,2019,ALL,2,0,0,19107216
SARI epi.minsal,CHI,sh,6,2019,ALL,0,3,0,19107216
SARI epi.minsal,CHI,sh,7,2019,ALL,3,1,0,19107216
SARI epi.minsal,CHI,sh,8,2019,ALL,3,0,0,19107216
SARI epi.minsal,CHI,sh,9,2019,ALL,2,1,0,19107216
SARI epi.minsal,CHI,sh,10,2019,ALL,0,1,0,19107216
SARI epi.minsal,CHI,sh,11,2019,ALL,1,3,0,19107216
SARI epi.minsal,CHI,sh,12,2019,ALL,0,2,0,19107216
SARI epi.minsal,CHI,sh,13,2019,ALL,1,5,0,19107216
SARI epi.minsal,CHI,sh,14,2019,ALL,1,10,0,19107216
SARI epi.minsal,CHI,sh,15,2019,ALL,1,6,0,19107216
SARI epi.minsal,CHI,sh,16,2019,ALL,7,11,0,19107216
SARI epi.minsal,CHI,sh,17,2019,ALL,2,11,0,19107216
SARI epi.minsal,CHI,sh,18,2019,ALL,11,21,1,19107216
SARI epi.minsal,CHI,sh,19,2019,ALL,18,27,0,19107216
SARI epi.minsal,CHI,sh,20,2019,ALL,38,36,0,19107216
SARI epi.minsal,CHI,sh,21,2019,ALL,62,34,0,19107216
SARI epi.minsal,CHI,sh,22,2019,ALL,55,34,0,19107216
SARI epi.minsal,CHI,sh,23,2019,ALL,90,53,0,19107216
SARI epi.minsal,CHI,sh,24,2019,ALL,81,55,0,19107216
SARI epi.minsal,CHI,sh,25,2019,ALL,83,71,0,19107216
SARI epi.minsal,CHI,sh,26,2019,ALL,49,90,0,19107216
SARI epi.minsal,CHI,sh,27,2019,ALL,48,90,0,19107216
SARI epi.minsal,CHI,sh,28,2019,ALL,35,103,0,19107216
SARI epi.minsal,CHI,sh,29,2019,ALL,16,95,0,19107216
SARI epi.minsal,CHI,sh,30,2019,ALL,14,78,0,19107216
SARI epi.minsal,CHI,sh,31,2019,ALL,19,64,0,19107216
SARI epi.minsal,CHI,sh,32,2019,ALL,15,49,0,19107216
SARI epi.minsal,CHI,sh,33,2019,ALL,17,39,0,19107216
SARI epi.minsal,CHI,sh,34,2019,ALL,18,52,0,19107216
SARI epi.minsal,CHI,sh,35,2019,ALL,25,30,0,19107216
SARI epi.minsal,CHI,sh,36,2019,ALL,23,41,0,19107216
SARI epi.minsal,CHI,sh,37,2019,ALL,20,20,0,19107216
SARI epi.minsal,CHI,sh,38,2019,ALL,17,20,0,19107216
SARI epi.minsal,CHI,sh,39,2019,ALL,12,15,0,19107216
SARI epi.minsal,CHI,sh,40,2019,ALL,12,4,0,19107216
SARI epi.minsal,CHI,sh,41,2019,ALL,8,2,0,19107216
SARI epi.minsal,CHI,sh,42,2019,ALL,1,4,0,19107216
SARI epi.minsal,CHI,sh,43,2019,ALL,8,4,0,19107216
SARI epi.minsal,CHI,sh,44,2019,ALL,4,4,0,19107216
SARI epi.minsal,CHI,sh,45,2019,ALL,0,2,0,19107216
SARI epi.minsal,CHI,sh,46,2019,ALL,1,1,0,19107216
SARI epi.minsal,CHI,sh,47,2019,ALL,0,1,0,19107216
SARI epi.minsal,CHI,sh,48,2019,ALL,1,1,0,19107216
SARI epi.minsal,CHI,sh,49,2019,ALL,0,0,0,19107216
SARI epi.minsal,CHI,sh,50,2019,ALL,0,0,0,19107216
SARI epi.minsal,CHI,sh,51,2019,ALL,2,0,0,19107216
SARI epi.minsal,CHI,sh,52,2019,ALL,0,0,0,19107216
SARI epi.minsal,CHI,sh,1,2022,ALL,15,1,53,19828563
SARI epi.minsal,CHI,sh,2,2022,ALL,20,0,64,19828563
SARI epi.minsal,CHI,sh,3,2022,ALL,16,0,48,19828563
SARI epi.minsal,CHI,sh,4,2022,ALL,11,0,40,19828563
